availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
48,63,GE1334,3,Mechanical and Biomedical Engg,B,New Materials in the 21st Century,N,true
0,27,GE1337,3,Sch of Energy and Environment,B,Urban Green City: Pollution and Solution,N,true
0,63,GE1343,3,Architecture and Civil Engg,B,Energy Crisis and Renewable Energy,N,true
10,63,GE1344,3,Mechanical and Biomedical Engg,B,Nutrition and Wellness,N,true
0,52,GE1346,3,Biology & Chemistry,B,The Chemists Kitchen (The Science of Food and Cooking),N,true
8,40,GE1347,3,Electronic Engineering,B,Technology and the Land Trekking Adventurer,N,true
0,36,GE2301,3,Mechanical and Biomedical Engg,"A,B",Science and Technology: From Past to Future,N,true
0,41,GE2302,3,Biology & Chemistry,B,Forensics and Modern Society,N,true
31,59,GE2303,3,Architecture and Civil Engg,"A,B",Save the Earth: Sustainable Development,N,true
21,34,GE2304,3,Systems Engg and Engg Mgt,B,Innovation and Entrepreneurship for Young Professionals,N,true
0,143,GE2305,3,Physics & Materials Science,"A,B",Astronomy - The Sky and Us,N,true
0,152,GE2314,3,Building Science & Technology,"A,B",Construction As One of the Founding Stones of Modern Hong Kong,N,true
0,100,GE2315,3,Computer Science,"A,B",Security and Privacy in the Information Age,N,true
0,144,GE2316,3,Electronic Engineering,B,"Computing Snapshot, Today and Tomorrow",N,true
98,124,GE2318,3,Electronic Engineering,B,From Ancient Wisdom to Modern Science,N,true
19,34,GE2319,3,Systems Engg and Engg Mgt,B,Industrial Engineering and Management of Modern Enterprises,N,true
32,44,GE2320,3,Mechanical and Biomedical Engg,B,Robots in Our Life: How Applications of Robots Affect Our Life and Society,N,true
56,77,GE2322,3,Biology & Chemistry,B,The Nobel Spirit,N,true
11,100,GE2323,3,Computer Science,"A,B","Mobile Social Networks: Practices, Challenges, and Beyond",N,true
16,41,GE2324,3,Computer Science,"A,B",The Art and Science of Data,N,true
16,40,GE2326,3,Computer Science,"A,B",Probability in Action: From the Unfinished Game to the Modern World,N,true
40,61,GE2328,3,Systems Engg and Engg Mgt,B,Understanding and Improving Enterprises for Future Leaders,N,true
0,74,GE2329,3,Building Science & Technology,"A,B",Green Buildings: Discovery and Innovations,N,true
