availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
47,60,GE2103,3,Chinese and History,"A,B",Appreciating Masterpieces of Western Culture,Y,true
2,59,GE2105,3,English,"A,B",Popular Culture,Y,true
9,45,GE2106,3,Public Policy,B,Philosophy and Life: A Dialogue,Y,true
1,60,GE2108,3,English,"A,B",Literature in Our Lives,Y,true
0,120,GE2109,3,Applied Social Sciences,B,"Love, Sex, and Relationships: Psychological Perspectives",Y,true
40,180,GE2112,3,Asian & International Studies,"A,B","Vampires, Monsters and Teen Demons: A Study of the Gothic in Literature and Culture",Y,true
36,180,GE2117,3,Asian & International Studies,B,"Eat, Drink, Man, Woman: Cultural Identity of Koreans",Y,true
112,180,GE2120,3,Asian & International Studies,B,Asian Values and Managerial Practices,Y,true
62,123,GE2122,3,Linguistics and Translation,"A,B","The Cantonese Language in Use: Language, Grammar and Culture",Y,true
31,120,GE2125,3,Linguistics and Translation,B,"The Bible: Its History, Literature, and Influence",Y,true
6,90,GE2127,3,Architecture and Civil Engg,B,"Computer-Aided Visual Design & Electronic Arts - Programing with Image,Audio,Animation & Interaction",Y,true
9,420,GE2129,3,Applied Social Sciences,B,Psychology for Young Professionals,Y,true
2,30,GE3106,3,School of Creative Media,"A,B",Documentary and Everyday Urban Life,Y,true
1,60,GE4102,3,School of Creative Media,B,"Video Game: History, Industry, Society, and Creativity",Y,true
22,80,GE1201,3,Information Systems,"A,B",Information Management and Its Social Impact,Y,true
96,240,GE1202,3,Economics & Finance,B,Managing Your Personal Finance,Y,true
148,270,GE1204,3,Accountancy,"A,B",Living with the Unexpected and Unknown in Modern Society,Y,true
0,155,GE1205,3,Economics & Finance,B,Green Economics,Y,true
10,240,GE1206,3,Information Systems,"A,B",Accelerating Professional Growth on the Web,Y,true
0,40,GE1207,3,Marketing,"A,B",Organizational and Personal Image Management,Y,true
3,66,GE1212,3,Information Systems,B,Building Personal and Firm Images in the Digital Society,Y,true
29,80,GE1218,3,Public Policy,B,Make a Difference: The Challenge of Social Entrepreneurship in a Globalized World,Y,true
52,180,GE1222,3,Accountancy,B,Accounting in Everyday Life,Y,true
1,120,GE1223,3,Media and Communication,"A,B",Public Health Communication,Y,true
75,120,GE1224,3,Media and Communication,B,Graffiti as Graphic and Global Communication,Y,true
12,160,GE1225,3,Marketing,B,Become a Smart and Responsible Consumer,Y,true
0,10,GE1226,3,Applied Social Sciences,B,Youth in a Changing Society,Y,true
42,80,GE2202,3,Management Sciences,B,Globalization and Business,Y,true
56,80,GE2204,3,Management,"A,B",Business Ethics and Society,Y,true
155,180,GE2205,3,Asian & International Studies,B,Lifestyle Diversity and Choices,Y,true
64,160,GE2209,3,Marketing,B,Market Developments in China,Y,true
77,100,GE2210,3,Public Policy,"A,B",China: A Socio-Political Transformation,Y,true
0,80,GE2211,3,Applied Social Sciences,B,"Sexuality, Culture and Diversity",Y,true
49,80,GE2212,3,Management,"A,B",Contemporary Business Communication,Y,true
169,240,GE2213,3,Management Sciences,"A,B",Understanding Uncertainty and Statistical Reasoning,Y,true
39,60,GE2216,3,English,"A,B",New Literacies in the Information Age,Y,true
4,55,GE2218,3,Applied Social Sciences,B,Career Excellence in the 21st Century,Y,true
26,80,GE2220,3,Marketing,B,Sustainable Business: Doing Good Business While Doing Good,Y,true
0,240,GE2221,3,Applied Social Sciences,B,Violence and Crime,Y,true
0,40,GE2223,3,Applied Social Sciences,B,Interpersonal Skills and Positive Personal Development,Y,true
24,120,GE2225,3,Media and Communication,B,Media and Consumption: Food and Fashion in Everyday Life,Y,true
47,95,GE2226,3,Applied Social Sciences,B,Ageing Society: Hong Kong and Beyond,Y,true
1,80,GE2229,3,Economics & Finance,B,Uncovering the Global Economy through News,Y,true
11,75,GE2231,3,Management,"A,B","Business, Media and Society",Y,true
103,160,GE2242,3,Information Systems,B,Conducting Online Commerce in China,Y,true
31,80,GE2246,3,Public Policy,B,Changing Our Society: Turning Social Problems into Business Opportunities,Y,true
60,80,GE2249,3,Management,B,Maximising the Study Abroad Experience,Y,true
73,98,GE2250,3,Architecture and Civil Engg,B,Understand Global Projects for Business and Engineering Professionals,Y,true
68,90,GE2251,3,Architecture and Civil Engg,B,"Survey in Daily Life: Engineering, Business, and Political Applications",Y,true
66,91,GE2253,3,Architecture and Civil Engg,B,Real Estate Development: Principles and Process,Y,true
60,80,GE2254,3,Management,"A,B",Competition and Cooperation in Diverse Contexts,Y,true
89,120,GE3201,3,Media and Communication,B,China in the Eyes of World Media,Y,true
16,80,GE3204,3,Management,B,Business and Hong Kong Society,Y,true
1,60,GE1301,3,Sch of Energy and Environment,"A,B",Climate Change and Extreme Weather,Y,true
2,105,GE1305,3,Physics & Materials Science,"A,B",Everyday Physics: Its Impact on You and Society,Y,true
3,65,GE1310,3,Biology & Chemistry,"A,B",The Biochemistry of Attraction,Y,true
127,195,GE1322,3,Electronic Engineering,B,"Brain Machine Interface: Technology, Culture, and Society",Y,true
28,45,GE1325,3,Mechanical and Biomedical Engg,B,From Ideas to Innovative Design,Y,true
2,140,GE1326,3,Systems Engg and Engg Mgt,B,Common Accidents in Modern Day City Life - Inevitable? Preventable?,Y,true
75,102,GE1327,3,Mathematics,B,Navigating Risk,Y,true
6,55,GE1328,3,Biomedical Sciences,B,"Mind, Body and Energy",Y,true
10,97,GE1330,3,Mechanical and Biomedical Engg,B,Learning from Nature,Y,true
32,105,GE1331,3,Electronic Engineering,B,Problem Solving Made Easy,Y,true
24,94,GE1332,3,Architecture and Civil Engg,B,Beauty of Ancient Chinese Architecture,Y,true
74,97,GE1334,3,Mechanical and Biomedical Engg,B,New Materials in the 21st Century,Y,true
0,40,GE1337,3,Sch of Energy and Environment,B,Urban Green City: Pollution and Solution,Y,true
0,95,GE1343,3,Architecture and Civil Engg,B,Energy Crisis and Renewable Energy,Y,true
35,97,GE1344,3,Mechanical and Biomedical Engg,B,Nutrition and Wellness,Y,true
24,80,GE1346,3,Biology & Chemistry,B,The Chemists Kitchen (The Science of Food and Cooking),Y,true
26,62,GE1347,3,Electronic Engineering,B,Technology and the Land Trekking Adventurer,Y,true
3,54,GE2301,3,Mechanical and Biomedical Engg,"A,B",Science and Technology: From Past to Future,Y,true
16,60,GE2302,3,Biology & Chemistry,B,Forensics and Modern Society,Y,true
43,91,GE2303,3,Architecture and Civil Engg,"A,B",Save the Earth: Sustainable Development,Y,true
37,50,GE2304,3,Systems Engg and Engg Mgt,B,Innovation and Entrepreneurship for Young Professionals,Y,true
3,205,GE2305,3,Physics & Materials Science,"A,B",Astronomy - The Sky and Us,Y,true
2,230,GE2314,3,Building Science & Technology,"A,B",Construction As One of the Founding Stones of Modern Hong Kong,Y,true
3,150,GE2315,3,Computer Science,"A,B",Security and Privacy in the Information Age,Y,true
37,220,GE2316,3,Electronic Engineering,B,"Computing Snapshot, Today and Tomorrow",Y,true
146,190,GE2318,3,Electronic Engineering,B,From Ancient Wisdom to Modern Science,Y,true
30,48,GE2319,3,Systems Engg and Engg Mgt,B,Industrial Engineering and Management of Modern Enterprises,Y,true
55,70,GE2320,3,Mechanical and Biomedical Engg,B,Robots in Our Life: How Applications of Robots Affect Our Life and Society,Y,true
95,120,GE2322,3,Biology & Chemistry,B,The Nobel Spirit,Y,true
20,150,GE2323,3,Computer Science,"A,B","Mobile Social Networks: Practices, Challenges, and Beyond",Y,true
28,60,GE2324,3,Computer Science,"A,B",The Art and Science of Data,Y,true
19,60,GE2326,3,Computer Science,"A,B",Probability in Action: From the Unfinished Game to the Modern World,Y,true
65,90,GE2328,3,Systems Engg and Engg Mgt,B,Understanding and Improving Enterprises for Future Leaders,Y,true
0,110,GE2329,3,Building Science & Technology,"A,B",Green Buildings: Discovery and Innovations,Y,true
