availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
104,1725,GE1401,3,English,B,University English,N,true
21,125,GE2401,3,English,B,English for Science,N,true
172,450,GE2402,3,English,B,English for Business Communication,N,true
0,125,GE2404,3,English,B,Asian Literature in English,N,true
0,75,GE2405,3,English,B,Creative Writing,N,true
1,75,GE2407,3,English,B,"Reading Lives, Writing Selves: Autobiography and Culture",N,true
51,150,GE2408,3,English,B,Travel Writing: Discovery and Experience,N,true
59,100,GE2409,3,English,B,Words and Images: Reading and Writing in the 21st Century,N,true
88,350,GE2410,3,English,B,English for Engineering,N,true
73,250,GE3401,3,English,B,Exploring English Cinema,N,true
54,950,GE1501,3,Chinese and History,"A,B",Chinese Civilisation - History and Philosophy,Y,true
19,50,GE1101,3,Chinese and History,"A,B",Chinese Cultural Heritage in Modern Perspective,Y,true
40,121,GE1104,3,Chinese and History,"A,B",Chinese Cultural Canons and Their Modern Application,Y,true
25,75,GE1107,3,Chinese and History,"A,B",The City in Chinese History and Culture,Y,true
16,180,GE1110,3,School of Creative Media,"A,B",Exploring Contemporary Art,Y,true
44,100,GE1112,3,Chinese and History,"A,B",Chán Culture and Contemporary Society,Y,true
3,95,GE1113,3,School of Creative Media,"A,B",Visual Storytelling and Cultural Thinking,Y,true
0,50,GE1114,3,Chinese and History,"A,B",Women's Lives in Chinese History,Y,true
2,45,GE1117,3,Public Policy,B,Music and Human Values: Philosophical Investigations,Y,true
18,55,GE1127,3,School of Creative Media,"A,B",Money and Art: Exchange and Transaction As Themes in Art-works,Y,true
1,60,GE1128,3,School of Creative Media,"A,B",Music for Film,Y,true
2,80,GE1129,3,School of Creative Media,"A,B",Creative Photography,Y,true
2,87,GE1130,3,School of Creative Media,B,Introduction to Digital Media,Y,true
16,80,GE1132,3,Linguistics and Translation,B,"Mind, Brain and Language: How Are Human Beings Special?",Y,true
0,20,GE1134,3,Applied Social Sciences,B,Movies and Psychology,Y,true
1,135,GE2101,3,Public Policy,B,Rational Thinking and Creative Ideas,Y,true
