availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
160,240,GE2213,3,Management Sciences,"A,B",Understanding Uncertainty and Statistical Reasoning,Y,true
35,60,GE2216,3,English,"A,B",New Literacies in the Information Age,Y,true
0,55,GE2218,3,Applied Social Sciences,B,Career Excellence in the 21st Century,Y,true
0,80,GE2220,3,Marketing,B,Sustainable Business: Doing Good Business While Doing Good,Y,true
0,240,GE2221,3,Applied Social Sciences,B,Violence and Crime,Y,true
0,40,GE2223,3,Applied Social Sciences,B,Interpersonal Skills and Positive Personal Development,FULL,true
0,120,GE2225,3,Media and Communication,B,Media and Consumption: Food and Fashion in Everyday Life,Y,true
42,95,GE2226,3,Applied Social Sciences,B,Ageing Society: Hong Kong and Beyond,Y,true
0,80,GE2229,3,Economics & Finance,B,Uncovering the Global Economy through News,Y,true
0,75,GE2231,3,Management,"A,B","Business, Media and Society",Y,true
96,160,GE2242,3,Information Systems,B,Conducting Online Commerce in China,Y,true
16,80,GE2246,3,Public Policy,B,Changing Our Society: Turning Social Problems into Business Opportunities,Y,true
59,80,GE2249,3,Management,B,Maximising the Study Abroad Experience,Y,true
71,98,GE2250,3,Architecture and Civil Engg,B,Understand Global Projects for Business and Engineering Professionals,Y,true
60,90,GE2251,3,Architecture and Civil Engg,B,"Survey in Daily Life: Engineering, Business, and Political Applications",Y,true
68,91,GE2253,3,Architecture and Civil Engg,B,Real Estate Development: Principles and Process,Y,true
59,80,GE2254,3,Management,"A,B",Competition and Cooperation in Diverse Contexts,Y,true
80,120,GE3201,3,Media and Communication,B,China in the Eyes of World Media,Y,true
11,80,GE3204,3,Management,B,Business and Hong Kong Society,Y,true
0,60,GE1301,3,Sch of Energy and Environment,"A,B",Climate Change and Extreme Weather,FULL,true
0,105,GE1305,3,Physics & Materials Science,"A,B",Everyday Physics: Its Impact on You and Society,Y,true
0,65,GE1310,3,Biology & Chemistry,"A,B",The Biochemistry of Attraction,Y,true
117,195,GE1322,3,Electronic Engineering,B,"Brain Machine Interface: Technology, Culture, and Society",Y,true
23,45,GE1325,3,Mechanical and Biomedical Engg,B,From Ideas to Innovative Design,Y,true
0,140,GE1326,3,Systems Engg and Engg Mgt,B,Common Accidents in Modern Day City Life - Inevitable? Preventable?,FULL,true
71,102,GE1327,3,Mathematics,B,Navigating Risk,Y,true
0,55,GE1328,3,Biomedical Sciences,B,"Mind, Body and Energy",Y,true
0,97,GE1330,3,Mechanical and Biomedical Engg,B,Learning from Nature,Y,true
28,105,GE1331,3,Electronic Engineering,B,Problem Solving Made Easy,Y,true
10,94,GE1332,3,Architecture and Civil Engg,B,Beauty of Ancient Chinese Architecture,Y,true
69,97,GE1334,3,Mechanical and Biomedical Engg,B,New Materials in the 21st Century,Y,true
0,40,GE1337,3,Sch of Energy and Environment,B,Urban Green City: Pollution and Solution,FULL,true
0,95,GE1343,3,Architecture and Civil Engg,B,Energy Crisis and Renewable Energy,FULL,true
32,97,GE1344,3,Mechanical and Biomedical Engg,B,Nutrition and Wellness,Y,true
0,80,GE1346,3,Biology & Chemistry,B,The Chemists Kitchen (The Science of Food and Cooking),Y,true
22,62,GE1347,3,Electronic Engineering,B,Technology and the Land Trekking Adventurer,Y,true
0,54,GE2301,3,Mechanical and Biomedical Engg,"A,B",Science and Technology: From Past to Future,Y,true
0,60,GE2302,3,Biology & Chemistry,B,Forensics and Modern Society,Y,true
43,91,GE2303,3,Architecture and Civil Engg,"A,B",Save the Earth: Sustainable Development,Y,true
39,50,GE2304,3,Systems Engg and Engg Mgt,B,Innovation and Entrepreneurship for Young Professionals,Y,true
0,205,GE2305,3,Physics & Materials Science,"A,B",Astronomy - The Sky and Us,FULL,true
0,230,GE2314,3,Building Science & Technology,"A,B",Construction As One of the Founding Stones of Modern Hong Kong,FULL,true
0,150,GE2315,3,Computer Science,"A,B",Security and Privacy in the Information Age,Y,true
0,220,GE2316,3,Electronic Engineering,B,"Computing Snapshot, Today and Tomorrow",Y,true
136,190,GE2318,3,Electronic Engineering,B,From Ancient Wisdom to Modern Science,Y,true
29,48,GE2319,3,Systems Engg and Engg Mgt,B,Industrial Engineering and Management of Modern Enterprises,Y,true
55,70,GE2320,3,Mechanical and Biomedical Engg,B,Robots in Our Life: How Applications of Robots Affect Our Life and Society,Y,true
91,120,GE2322,3,Biology & Chemistry,B,The Nobel Spirit,Y,true
2,150,GE2323,3,Computer Science,"A,B","Mobile Social Networks: Practices, Challenges, and Beyond",Y,true
22,60,GE2324,3,Computer Science,"A,B",The Art and Science of Data,Y,true
10,60,GE2326,3,Computer Science,"A,B",Probability in Action: From the Unfinished Game to the Modern World,Y,true
54,90,GE2328,3,Systems Engg and Engg Mgt,B,Understanding and Improving Enterprises for Future Leaders,Y,true
0,110,GE2329,3,Building Science & Technology,"A,B",Green Buildings: Discovery and Innovations,FULL,true
