availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
98,1725,GE1401,3,English,B,University English,N,true
20,125,GE2401,3,English,B,English for Science,N,true
171,450,GE2402,3,English,B,English for Business Communication,N,true
0,125,GE2404,3,English,B,Asian Literature in English,N,true
2,75,GE2405,3,English,B,Creative Writing,N,true
1,75,GE2407,3,English,B,"Reading Lives, Writing Selves: Autobiography and Culture",N,true
42,150,GE2408,3,English,B,Travel Writing: Discovery and Experience,N,true
58,100,GE2409,3,English,B,Words and Images: Reading and Writing in the 21st Century,N,true
84,350,GE2410,3,English,B,English for Engineering,N,true
73,250,GE3401,3,English,B,Exploring English Cinema,N,true
3,950,GE1501,3,Chinese and History,"A,B",Chinese Civilisation - History and Philosophy,Y,true
16,50,GE1101,3,Chinese and History,"A,B",Chinese Cultural Heritage in Modern Perspective,Y,true
24,121,GE1104,3,Chinese and History,"A,B",Chinese Cultural Canons and Their Modern Application,Y,true
7,75,GE1107,3,Chinese and History,"A,B",The City in Chinese History and Culture,Y,true
0,180,GE1110,3,School of Creative Media,"A,B",Exploring Contemporary Art,Y,true
31,100,GE1112,3,Chinese and History,"A,B",Chán Culture and Contemporary Society,Y,true
0,95,GE1113,3,School of Creative Media,"A,B",Visual Storytelling and Cultural Thinking,Y,true
0,50,GE1114,3,Chinese and History,"A,B",Women's Lives in Chinese History,Y,true
0,45,GE1117,3,Public Policy,B,Music and Human Values: Philosophical Investigations,FULL,true
7,55,GE1127,3,School of Creative Media,"A,B",Money and Art: Exchange and Transaction As Themes in Art-works,Y,true
0,60,GE1128,3,School of Creative Media,"A,B",Music for Film,Y,true
0,80,GE1129,3,School of Creative Media,"A,B",Creative Photography,FULL,true
0,87,GE1130,3,School of Creative Media,B,Introduction to Digital Media,FULL,true
8,80,GE1132,3,Linguistics and Translation,B,"Mind, Brain and Language: How Are Human Beings Special?",Y,true
0,20,GE1134,3,Applied Social Sciences,B,Movies and Psychology,FULL,true
0,135,GE2101,3,Public Policy,B,Rational Thinking and Creative Ideas,FULL,true
48,60,GE2103,3,Chinese and History,"A,B",Appreciating Masterpieces of Western Culture,Y,true
0,59,GE2105,3,English,"A,B",Popular Culture,FULL,true
0,45,GE2106,3,Public Policy,B,Philosophy and Life: A Dialogue,FULL,true
0,60,GE2108,3,English,"A,B",Literature in Our Lives,Y,true
0,120,GE2109,3,Applied Social Sciences,B,"Love, Sex, and Relationships: Psychological Perspectives",FULL,true
0,180,GE2112,3,Asian & International Studies,"A,B","Vampires, Monsters and Teen Demons: A Study of the Gothic in Literature and Culture",Y,true
0,180,GE2117,3,Asian & International Studies,B,"Eat, Drink, Man, Woman: Cultural Identity of Koreans",Y,true
111,180,GE2120,3,Asian & International Studies,B,Asian Values and Managerial Practices,Y,true
55,123,GE2122,3,Linguistics and Translation,"A,B","The Cantonese Language in Use: Language, Grammar and Culture",Y,true
20,120,GE2125,3,Linguistics and Translation,B,"The Bible: Its History, Literature, and Influence",Y,true
0,90,GE2127,3,Architecture and Civil Engg,B,"Computer-Aided Visual Design & Electronic Arts - Programing with Image,Audio,Animation & Interaction",FULL,true
0,420,GE2129,3,Applied Social Sciences,B,Psychology for Young Professionals,Y,true
0,30,GE3106,3,School of Creative Media,"A,B",Documentary and Everyday Urban Life,FULL,true
0,60,GE4102,3,School of Creative Media,B,"Video Game: History, Industry, Society, and Creativity",FULL,true
0,80,GE1201,3,Information Systems,"A,B",Information Management and Its Social Impact,Y,true
84,240,GE1202,3,Economics & Finance,B,Managing Your Personal Finance,Y,true
132,270,GE1204,3,Accountancy,"A,B",Living with the Unexpected and Unknown in Modern Society,Y,true
0,155,GE1205,3,Economics & Finance,B,Green Economics,Y,true
0,240,GE1206,3,Information Systems,"A,B",Accelerating Professional Growth on the Web,Y,true
0,40,GE1207,3,Marketing,"A,B",Organizational and Personal Image Management,FULL,true
0,66,GE1212,3,Information Systems,B,Building Personal and Firm Images in the Digital Society,FULL,true
13,80,GE1218,3,Public Policy,B,Make a Difference: The Challenge of Social Entrepreneurship in a Globalized World,Y,true
39,180,GE1222,3,Accountancy,B,Accounting in Everyday Life,Y,true
0,120,GE1223,3,Media and Communication,"A,B",Public Health Communication,FULL,true
64,120,GE1224,3,Media and Communication,B,Graffiti as Graphic and Global Communication,Y,true
0,160,GE1225,3,Marketing,B,Become a Smart and Responsible Consumer,Y,true
0,10,GE1226,3,Applied Social Sciences,B,Youth in a Changing Society,FULL,true
35,80,GE2202,3,Management Sciences,B,Globalization and Business,Y,true
53,80,GE2204,3,Management,"A,B",Business Ethics and Society,Y,true
153,180,GE2205,3,Asian & International Studies,B,Lifestyle Diversity and Choices,Y,true
46,160,GE2209,3,Marketing,B,Market Developments in China,Y,true
73,100,GE2210,3,Public Policy,"A,B",China: A Socio-Political Transformation,Y,true
0,80,GE2211,3,Applied Social Sciences,B,"Sexuality, Culture and Diversity",FULL,true
49,80,GE2212,3,Management,"A,B",Contemporary Business Communication,Y,true
