availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
139,1725,GE1401,3,English,B,University English,N,true
65,125,GE2401,3,English,B,English for Science,N,true
224,450,GE2402,3,English,B,English for Business Communication,N,true
0,125,GE2404,3,English,B,Asian Literature in English,N,true
3,75,GE2405,3,English,B,Creative Writing,N,true
6,75,GE2407,3,English,B,"Reading Lives, Writing Selves: Autobiography and Culture",N,true
0,100,GE2408,3,English,B,Travel Writing: Discovery and Experience,N,true
0,28,GE2409,3,English,B,Words and Images: Reading and Writing in the 21st Century,N,true
126,350,GE2410,3,English,B,English for Engineering,N,true
104,250,GE3401,3,English,B,Exploring English Cinema,N,true
70,257,GE1501,3,Chinese and History,"A,B",Chinese Civilisation - History and Philosophy,N,true
6,17,GE1101,3,Chinese and History,"A,B",Chinese Cultural Heritage in Modern Perspective,N,true
15,30,GE1104,3,Chinese and History,"A,B",Chinese Cultural Canons and Their Modern Application,N,true
0,20,GE1107,3,Chinese and History,"A,B",The City in Chinese History and Culture,N,true
0,45,GE1110,3,School of Creative Media,"A,B",Exploring Contemporary Art,N,true
5,25,GE1112,3,Chinese and History,"A,B",Chán Culture and Contemporary Society,N,true
0,29,GE1113,3,School of Creative Media,"A,B",Visual Storytelling and Cultural Thinking,N,true
0,26,GE1114,3,Chinese and History,"A,B",Women's Lives in Chinese History,N,true
0,13,GE1117,3,Public Policy,B,Music and Human Values: Philosophical Investigations,N,true
0,16,GE1127,3,School of Creative Media,"A,B",Money and Art: Exchange and Transaction As Themes in Art-works,N,true
0,23,GE1128,3,School of Creative Media,"A,B",Music for Film,N,true
0,27,GE1129,3,School of Creative Media,"A,B",Creative Photography,N,true
0,26,GE1130,3,School of Creative Media,B,Introduction to Digital Media,N,true
0,25,GE1132,3,Linguistics and Translation,B,"Mind, Brain and Language: How Are Human Beings Special?",N,true
0,5,GE1134,3,Applied Social Sciences,B,Movies and Psychology,N,true
0,43,GE2101,3,Public Policy,B,Rational Thinking and Creative Ideas,N,true
11,17,GE2103,3,Chinese and History,"A,B",Appreciating Masterpieces of Western Culture,N,true
0,20,GE2105,3,English,"A,B",Popular Culture,N,true
0,13,GE2106,3,Public Policy,B,Philosophy and Life: A Dialogue,N,true
0,21,GE2108,3,English,"A,B",Literature in Our Lives,N,true
0,91,GE2109,3,Applied Social Sciences,B,"Love, Sex, and Relationships: Psychological Perspectives",N,true
