availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
0,41,GE2112,3,Asian & International Studies,"A,B","Vampires, Monsters and Teen Demons: A Study of the Gothic in Literature and Culture",N,true
0,43,GE2117,3,Asian & International Studies,B,"Eat, Drink, Man, Woman: Cultural Identity of Koreans",N,true
22,41,GE2120,3,Asian & International Studies,B,Asian Values and Managerial Practices,N,true
15,33,GE2122,3,Linguistics and Translation,"A,B","The Cantonese Language in Use: Language, Grammar and Culture",N,true
9,31,GE2125,3,Linguistics and Translation,B,"The Bible: Its History, Literature, and Influence",N,true
0,20,GE2127,3,Architecture and Civil Engg,B,"Computer-Aided Visual Design & Electronic Arts - Programing with Image,Audio,Animation & Interaction",N,true
103,201,GE2129,3,Applied Social Sciences,B,Psychology for Young Professionals,N,true
0,9,GE3106,3,School of Creative Media,"A,B",Documentary and Everyday Urban Life,N,true
0,16,GE4102,3,School of Creative Media,B,"Video Game: History, Industry, Society, and Creativity",N,true
0,18,GE1201,3,Information Systems,"A,B",Information Management and Its Social Impact,N,true
28,60,GE1202,3,Economics & Finance,B,Managing Your Personal Finance,N,true
52,65,GE1204,3,Accountancy,"A,B",Living with the Unexpected and Unknown in Modern Society,N,true
0,49,GE1205,3,Economics & Finance,B,Green Economics,N,true
8,57,GE1206,3,Information Systems,"A,B",Accelerating Professional Growth on the Web,N,true
0,24,GE1207,3,Marketing,"A,B",Organizational and Personal Image Management,N,true
0,17,GE1212,3,Information Systems,B,Building Personal and Firm Images in the Digital Society,N,true
0,26,GE1218,3,Public Policy,B,Make a Difference: The Challenge of Social Entrepreneurship in a Globalized World,N,true
24,43,GE1222,3,Accountancy,B,Accounting in Everyday Life,N,true
0,29,GE1223,3,Media and Communication,"A,B",Public Health Communication,N,true
7,29,GE1224,3,Media and Communication,B,Graffiti as Graphic and Global Communication,N,true
0,46,GE1225,3,Marketing,B,Become a Smart and Responsible Consumer,N,true
0,2,GE1226,3,Applied Social Sciences,B,Youth in a Changing Society,N,true
2,30,GE2202,3,Management Sciences,B,Globalization and Business,N,true
13,33,GE2204,3,Management,"A,B",Business Ethics and Society,N,true
27,41,GE2205,3,Asian & International Studies,B,Lifestyle Diversity and Choices,N,true
19,62,GE2209,3,Marketing,B,Market Developments in China,N,true
16,33,GE2210,3,Public Policy,"A,B",China: A Socio-Political Transformation,N,true
0,24,GE2211,3,Applied Social Sciences,B,"Sexuality, Culture and Diversity",N,true
12,36,GE2212,3,Management,"A,B",Contemporary Business Communication,N,true
43,56,GE2213,3,Management Sciences,"A,B",Understanding Uncertainty and Statistical Reasoning,N,true
7,19,GE2216,3,English,"A,B",New Literacies in the Information Age,N,true
0,21,GE2218,3,Applied Social Sciences,B,Career Excellence in the 21st Century,N,true
10,24,GE2220,3,Marketing,B,Sustainable Business: Doing Good Business While Doing Good,N,true
0,135,GE2221,3,Applied Social Sciences,B,Violence and Crime,N,true
0,14,GE2223,3,Applied Social Sciences,B,Interpersonal Skills and Positive Personal Development,N,true
0,29,GE2225,3,Media and Communication,B,Media and Consumption: Food and Fashion in Everyday Life,N,true
8,25,GE2226,3,Applied Social Sciences,B,Ageing Society: Hong Kong and Beyond,N,true
3,37,GE2229,3,Economics & Finance,B,Uncovering the Global Economy through News,N,true
4,31,GE2231,3,Management,"A,B","Business, Media and Society",N,true
17,45,GE2242,3,Information Systems,B,Conducting Online Commerce in China,N,true
0,19,GE2246,3,Public Policy,B,Changing Our Society: Turning Social Problems into Business Opportunities,N,true
7,18,GE2249,3,Management,B,Maximising the Study Abroad Experience,N,true
14,28,GE2250,3,Architecture and Civil Engg,B,Understand Global Projects for Business and Engineering Professionals,N,true
12,20,GE2251,3,Architecture and Civil Engg,B,"Survey in Daily Life: Engineering, Business, and Political Applications",N,true
8,21,GE2253,3,Architecture and Civil Engg,B,Real Estate Development: Principles and Process,N,true
10,31,GE2254,3,Management,"A,B",Competition and Cooperation in Diverse Contexts,N,true
21,29,GE3201,3,Media and Communication,B,China in the Eyes of World Media,N,true
3,46,GE3204,3,Management,B,Business and Hong Kong Society,N,true
0,19,GE1301,3,Sch of Energy and Environment,"A,B",Climate Change and Extreme Weather,N,true
2,23,GE1305,3,Physics & Materials Science,"A,B",Everyday Physics: Its Impact on You and Society,N,true
0,17,GE1310,3,Biology & Chemistry,"A,B",The Biochemistry of Attraction,N,true
24,46,GE1322,3,Electronic Engineering,B,"Brain Machine Interface: Technology, Culture, and Society",N,true
8,9,GE1325,3,Mechanical and Biomedical Engg,B,From Ideas to Innovative Design,N,true
0,32,GE1326,3,Systems Engg and Engg Mgt,B,Common Accidents in Modern Day City Life - Inevitable? Preventable?,N,true
16,23,GE1327,3,Mathematics,B,Navigating Risk,N,true
0,17,GE1328,3,Biomedical Sciences,B,"Mind, Body and Energy",N,true
0,23,GE1330,3,Mechanical and Biomedical Engg,B,Learning from Nature,N,true
0,28,GE1331,3,Electronic Engineering,B,Problem Solving Made Easy,N,true
0,24,GE1332,3,Architecture and Civil Engg,B,Beauty of Ancient Chinese Architecture,N,true
13,23,GE1334,3,Mechanical and Biomedical Engg,B,New Materials in the 21st Century,N,true
0,11,GE1337,3,Sch of Energy and Environment,B,Urban Green City: Pollution and Solution,N,true
0,25,GE1343,3,Architecture and Civil Engg,B,Energy Crisis and Renewable Energy,N,true
0,23,GE1344,3,Mechanical and Biomedical Engg,B,Nutrition and Wellness,N,true
0,18,GE1346,3,Biology & Chemistry,B,The Chemists Kitchen (The Science of Food and Cooking),N,true
5,14,GE1347,3,Electronic Engineering,B,Technology and the Land Trekking Adventurer,N,true
0,14,GE2301,3,Mechanical and Biomedical Engg,"A,B",Science and Technology: From Past to Future,N,true
0,17,GE2302,3,Biology & Chemistry,B,Forensics and Modern Society,N,true
11,21,GE2303,3,Architecture and Civil Engg,"A,B",Save the Earth: Sustainable Development,N,true
7,15,GE2304,3,Systems Engg and Engg Mgt,B,Innovation and Entrepreneurship for Young Professionals,N,true
0,58,GE2305,3,Physics & Materials Science,"A,B",Astronomy - The Sky and Us,N,true
0,58,GE2314,3,Building Science & Technology,"A,B",Construction As One of the Founding Stones of Modern Hong Kong,N,true
0,38,GE2315,3,Computer Science,"A,B",Security and Privacy in the Information Age,N,true
0,51,GE2316,3,Electronic Engineering,B,"Computing Snapshot, Today and Tomorrow",N,true
35,43,GE2318,3,Electronic Engineering,B,From Ancient Wisdom to Modern Science,N,true
8,15,GE2319,3,Systems Engg and Engg Mgt,B,Industrial Engineering and Management of Modern Enterprises,N,true
11,15,GE2320,3,Mechanical and Biomedical Engg,B,Robots in Our Life: How Applications of Robots Affect Our Life and Society,N,true
18,27,GE2322,3,Biology & Chemistry,B,The Nobel Spirit,N,true
2,38,GE2323,3,Computer Science,"A,B","Mobile Social Networks: Practices, Challenges, and Beyond",N,true
0,17,GE2324,3,Computer Science,"A,B",The Art and Science of Data,N,true
6,16,GE2326,3,Computer Science,"A,B",Probability in Action: From the Unfinished Game to the Modern World,N,true
12,25,GE2328,3,Systems Engg and Engg Mgt,B,Understanding and Improving Enterprises for Future Leaders,N,true
0,29,GE2329,3,Building Science & Technology,"A,B",Green Buildings: Discovery and Innovations,N,true
